wl,n
0.3200,1.6570858154297
0.3248,1.654033300992
0.3296,1.6511346857669
0.3344,1.6483796972538
0.3392,1.6457589083762
0.3440,1.6432636554453
0.3488,1.640885965231
0.3536,1.6386184900066
0.3584,1.6364544495911
0.3632,1.6343875795451
0.3680,1.6324120847865
0.3728,1.6305225979911
0.3776,1.6287141422231
0.3824,1.626982097314
0.3872,1.6253221695663
0.3920,1.6237303644133
0.3968,1.6222029617109
0.4016,1.6207364933761
0.4064,1.6193277231212
0.4112,1.6179736280642
0.4160,1.6166713820173
0.4208,1.6154183402842
0.4256,1.6142120258097
0.4304,1.6130501165482
0.4352,1.6119304339293
0.4400,1.6108509323134
0.4448,1.6098096893406
0.4496,1.6088048970889
0.4544,1.6078348539643
0.4592,1.6068979572538
0.4640,1.6059926962816
0.4688,1.6051176461122
0.4736,1.6042714617513
0.4784,1.6034528727999
0.4832,1.6026606785225
0.4880,1.6018937432909
0.4928,1.6011509923743
0.4976,1.6004314080433
0.5024,1.5997340259626
0.5072,1.5990579318482
0.5120,1.5984022583663
0.5168,1.5977661822555
0.5216,1.5971489216521
0.5264,1.5965497336052
0.5312,1.5959679117625
0.5360,1.5954027842173
0.5408,1.5948537115016
0.5456,1.5943200847144
0.5504,1.5938013237761
0.5552,1.5932968757976
0.5600,1.5928062135569
0.5648,1.5923288340745
0.5696,1.5918642572812
0.5744,1.5914120247694
0.5792,1.5909716986248
0.5840,1.5905428603307
0.5888,1.5901251097399
0.5936,1.5897180641104
0.5984,1.5893213572
0.6032,1.5889346384147
0.6080,1.5885575720091
0.6128,1.5881898363337
0.6176,1.5878311231268
0.6224,1.5874811368474
0.6272,1.5871395940471
0.6320,1.5868062227778
0.6368,1.5864807620331
0.6416,1.5861629612213
0.6464,1.5858525796679
0.6512,1.5855493861455
0.6560,1.5852531584302
0.6608,1.5849636828814
0.6656,1.584680754045
0.6704,1.584404174278
0.6752,1.5841337533921
0.6800,1.5838693083177
0.6848,1.5836106627844
0.6896,1.5833576470187
0.6944,1.5831100974569
0.6992,1.5828678564735
0.7040,1.5826307721224
0.7088,1.5823986978921
0.7136,1.5821714924729
0.7184,1.5819490195352
0.7232,1.5817311475199
0.7280,1.5815177494377
0.7328,1.5813087026794
0.7376,1.5811038888347
0.7424,1.5809031935199
0.7472,1.5807065062138
0.7520,1.5805137201015
0.7568,1.5803247319255
0.7616,1.5801394418435
0.7664,1.5799577532932
0.7712,1.5797795728634
0.7760,1.5796048101701
0.7808,1.5794333777397
0.7856,1.5792651908963
0.7904,1.5791001676543
0.7952,1.5789382286163
0.8000,1.578779296875
