wl,n
0.3200,1.6520727539062
0.3338,1.6411710175128
0.3476,1.6319578268683
0.3614,1.6241067409832
0.3752,1.6173652829074
0.3890,1.6115360044964
0.4028,1.6064629008298
0.4166,1.6020215333752
0.4304,1.5981117609147
0.4442,1.594652328339
0.4580,1.5915767953636
0.4718,1.588830442732
0.4856,1.5863678991825
0.4994,1.584151305247
0.5132,1.5821488806811
0.5270,1.5803337980852
0.5408,1.5786832907583
0.5546,1.5771779411609
0.5684,1.5758011096902
0.5822,1.5745384732375
0.5960,1.5733776502241
0.6098,1.5723078941941
0.6236,1.5713198420915
0.6374,1.5704053064079
0.6512,1.5695571027226
0.6650,1.5687689059448
0.6788,1.5680351299521
0.6926,1.5673508263903
0.7064,1.5667115992407
0.7202,1.5661135324181
0.7340,1.5655531281845
0.7478,1.5650272545766
0.7616,1.5645331003741
0.7754,1.5640681364001
0.7892,1.5636300821596
0.8030,1.5632168769914
0.8168,1.5628266550507
0.8306,1.5624577235516
0.8444,1.5621085437957
0.8582,1.5617777145842
0.8720,1.561463957679
0.8858,1.5611661050294
0.8996,1.5608830875216
0.9134,1.5606139250487
0.9272,1.5603577177264
0.9410,1.5601136381058
0.9548,1.5598809242559
0.9686,1.5596588736064
0.9824,1.559446837457
0.9962,1.5592442160719
1.010,1.5590504542886
1.024,1.5588624093309
1.038,1.5586824549517
1.051,1.5585221941745
1.065,1.558356566125
1.079,1.558197764876
1.093,1.5580454165868
1.107,1.5578991728523
1.120,1.5577685567212
1.134,1.5576331870089
1.148,1.5575030292371
1.162,1.5573778167155
1.176,1.5572572997209
1.189,1.5571493906926
1.203,1.5570372811252
1.217,1.5569292217069
1.231,1.5568250179359
1.245,1.5567244869301
1.258,1.5566342747535
1.272,1.5565403497398
1.286,1.556449621235
1.300,1.5563619446098
1.314,1.5562771833788
1.327,1.5562009742169
1.341,1.5561214777598
1.355,1.5560445388583
1.369,1.5559700481099
1.383,1.555897901938
1.396,1.5558329225696
1.410,1.5557650254629
1.424,1.5556991997375
1.438,1.5556353613666
1.452,1.5555734305678
1.465,1.5555175651431
1.479,1.555459102474
1.493,1.5554023358053
1.507,1.5553471997132
1.521,1.555293631917
1.534,1.5552452427635
1.548,1.5551945344703
1.562,1.5551452285097
1.576,1.5550972733122
1.590,1.5550506196706
1.603,1.5550084227625
1.617,1.5549641484571
1.631,1.554921044004
1.645,1.5548790682992
1.659,1.5548381820379
1.672,1.5548011588294
1.686,1.554762268871
1.700,1.5547243627351
